Mar 2020,50,Week end in Livigno,"Amazing hotel, amazing staff, from the Receptionist till floor waitres.Was one wonderfull Experience, we felt at home, Room was beatifull and big with an amazing view, clean and silent, all staff was smiling.The SPA was special, swim in pool near to the snow Is an incredible Experience.I want to thank Mr Mauro, Ms Fogu, Mr Armando and his collaborator. And all the staff.Massimo Zolo"
Feb 2020,50,Once in a life time experience,"A fantastic weekend spent in an igloo. A unique and personalised experience. The staff were attentive and friendly. The only suggestion to other couples would be to ask for a private dinner instead of being put with another couple . Other than that, just brilliant and unforgettable."
Jan 2020,50,"Excellently manged friendly, clean relax-hotel with superb service!!","Relax-hotel directly situated at the ski-slopes. Offers very clean, spacious rooms, extremely attentive and friendly professional personell, first class suisine, The stay here (4 nights) was an excellent experience in every respect and we already enjoy to be guests in this Hotel again!! We can give a wholehearted recommendation without any restriction! Come and see yourselves."
Jan 2020,50,Generous hospitality ,"Even before we arrived we felt welcome at Hotel Lac Salin. We called ahead to organise a few things and everything is made easy by the helpful and welcoming staff at this ski in/ski out resort. Our rooms were gorgeous and an upgrade to a suite was very much appreciated. The spa and wellness centre is new and the attention to detail is incredible. Staff are at the ready to assist and the hotel policy appears to be based on generosity. The breakfast buffet and half board dinners were of a very high standard. The dinner was called a buffet but the entree and mains were ordered from a menu with a choice of three. The appetisers and dessert were via the buffet. Room service attention in the evening ensured that we had plenty of towels for the pool, salt pool and saunas. It was very hard to leave this fabulous hotel. Can’t speak highly enough of this experience."
Jan 2020,50,Super easy ski holiday hotel destination!,"The Hotel Lac Salin is well positioned in Livigno and can’t be beaten in terms of ease of stay. True ski in and ski out. First lift and lift pass office couldnt be more than 30 mars away. Ski hire located in the base of the boot room (all within the hotel) and ski in/out access from there. Our stay included half board, so breakfast and dinner. Quality of the food was great and I particularly liked the abundant salad bar and other assorted antipasto  to begin each evening meal with. Breakfast too was bountiful with eggs made to order available, as well as espresso coffee. The wait staff were amazing. So accommodating and they even came to the rescue of my daughter who nearly fainted one morning at breakfast. They also provided a lovely cake and happy birthday singing for my son. My only comment would seemed a little strange and disappointing to be charged for water (only at dinner) when everything else except alcohol was included at other times. In fact at breakfast there was even champagne available as part of the buffet. The rooms are well appointed and comfortable, although I did find the mattresses rather firm. The use of extra facilities such as the pool, gym, sauna and steam baths which are included in your stay are amazing and the couple of massages we had in the spa (paid for) also hit the spot!I feel a little guilty that I didn’t see too much of Livigno town itself because everything we needed was taken care of in the hotel! Management was lovely as were the ladies cleaning our rooms. All in all, a great stay and one Id highly recommend."
Jan 2020,50,Fantastic time in Livigno,"It’s our final day at the Lac Salin hotel but we have had a fantastic time here. The hotel is absolutely stunning. It’s situated right next to the piste and lifts, so getting out skiing everyday is very easy. The rooms were large with very comfortable beds and a great balcony to enjoy a drink on later in the day. The staff at the hotel were so welcoming and could not do enough to help you out. Finally the best thing about the hotel was the food! We had planned to eat out more but in the end we never wanted to miss out on the four course dinners each day!This is a great hotel to stay in if you are considering coming to beautiful Livigno."
Jan 2020,50,Loved the Snow Dream Experience!!!,"A staff member Rosita showed us the hotel and was extremely helpful, accommodating and knowledgeable! We ended up staying here in the snow chalet for the snow dream experience. It was such a breath taking place to stay. The thermal sleeping sleeping bags they gave us and the heating bags kept us toasty warm all night! They even brought us wine and tea before we hopped into bed and again brought us tea in the morning before taking us into our private breakfast area. We had access to the spa bathrooms all night as well so when we needed to use them we could easily go inside. In the morning after breakfast we had amazing spa and massage treatments. I absolutely love this place and think everyone should try the snow dream experience!!!!!"
Dec 2019,50,Such a beautiful place!,"It was our 3rd time staying at the Lac Salin in Livigno and it gets better every time.Livigno itself is wonderful and the Lac Salin is the perfect place to stay.The welcome, as before, was warm and friendly and it really feels like each member of staff is pleased that you are there.The food and the service from in the restaurant was fantastic and the dinner on Christmas Eve was special!The bar staff were also great and took pride in serving you, whether it be a pasta dish for lunch or a Moscow Mule in the evening.The location was perfect with the ski school on the doorstep and only a short walk into the centre of town.If I have one suggestion for improvement it would be the showers in the rooms. The shower heads are tiny and very difficult to control, which can lead to water going everywhere. Only a small point and did not affect our stay.One of the best parts of this trip was using the expanded Spa area. This was wonderful! From the new salt water jacuzzi pool to the fantastic swinging beds. It is luxurious and we loved it!In summary, this is a superb hotel with a lovely welcome in an ideal location with great staff! I did not want to leave and will certainly return!"
Dec 2019,50,The best hotel I've stayed in,"The hotel is pretty big, not what I usually enjoy on a snowboarding vacation, but I have to say everything was to my liking.The location is ideal. You are about 10 minutes on foot till Carosello 3000 gondola - or you simply use the T-bar lift 18 (Doss) from right above the hotel and then you can get to the gondola on the slope. Ski-out and ski-in are a big plus.The buses stop almost in front of the hotel, there's supermarkets, various shops and even restaurants/bars in the vicinity (if you want some variation).The rooms are spatious, warm, modern and newly-furbished. Bed offers excellent sleep quality.The wellness area is fabulous - with various places where one can unwind after a day on the slopes. Of course, the hotel offers everything to make this experience enjoyable.The food is excellent and the service is extremely fast, friendly and efficient. You always expect good food in Italy, but here it was varied, very tasty, in abundance and served fast and with a smile on the face.Check-in/out were efficient and the reception staff was helpful.The small goodbye gift was a nice touch.The sole small minus was the bad quality of the wi-fi connection (it was fast, but was consistently inconsistent). But in today's world, everybody has many Gbs of roaming traffic, so it's a non-issue.Will definitely come back."
Dec 2019,50,Perfect  stay,"very  good  quality  of  service,  great  location  regarding the  slopes  ,  fantastic food, room with  a  lot of  space and a  great  view of the mountains,  life music  at  the  bar in  the  evening, very  nice  and  helpful staff"
